lr,weight_decay,alpha,beta,mean_Val_AUQC,mean_AUUC,mean_AUQC,mean_Lift,mean_KRCC,mean_ATE_Err,std_Val_AUQC,std_AUUC,std_AUQC,std_Lift,std_KRCC,std_ATE_Err
5e-05,0.0,0.5,1.0,0.865471726065759,0.6879983104531948,0.6874297038662237,0.005608128383755684,0.10678600893745464,0.16593928635120392,0.08255714184314063,0.15779765702654078,0.16016884566746892,0.0017624143013621986,0.07180804486793566,0.23985829949378967
5e-05,1e-06,0.5,1.0,0.8649562017733899,0.687623633151484,0.6871190051411243,0.0056141669861972335,0.09072850152926512,0.1657620668411255,0.08419492563363734,0.15998604855492465,0.16228422652615232,0.0016777099755628981,0.0775768352097601,0.24039524793624878
0.0001,1e-06,1.0,0.1,0.7362989462938228,0.6859476729407564,0.6859512903185838,0.005922067351639271,0.12655453391068586,0.012213216163218021,0.163640161294743,0.26321808492221194,0.2640507418651066,0.003880137591554738,0.1310875970970207,0.009955553337931633
5e-05,0.0,1.0,1.0,0.861495420647833,0.6852961947176676,0.6848218221231761,0.005762510001659393,0.08863315679993523,0.1642807275056839,0.08357021230959226,0.1694203055620093,0.1713467033218888,0.0016220313246007921,0.06293570209695941,0.23892097175121307
5e-05,1e-06,1.0,1.0,0.8600186218303001,0.6848017422158158,0.6843125661274647,0.005555757135152817,0.07962336799140364,0.1641095131635666,0.08070394037158997,0.1692651285107371,0.17115532611466022,0.0015712347454197347,0.07503417870113738,0.23955225944519043
5e-05,0.0,0.1,1.0,0.865569214725592,0.6836346447405124,0.6830104018696372,0.005882690288126468,0.10388975846646546,0.1643281877040863,0.0836126917767085,0.16068405719095563,0.16268100739175884,0.0016925841705620155,0.06691445549051615,0.23958854377269745
5e-05,0.0001,1.0,0.1,0.7224951770519883,0.6834638799141897,0.6829627387216538,0.00577837536111474,0.07280827599015655,0.012287154793739319,0.17476204635407575,0.2251823763736418,0.22589199833709084,0.0037048166529361757,0.12004982631087521,0.00879040639847517
0.0001,1e-05,0.5,0.1,0.7265557989069376,0.6821605855801464,0.6822334799789213,0.005532010085880756,0.11024417517123833,0.012716768309473991,0.17966039144874713,0.2625817570668181,0.26357596809610884,0.003275205511246405,0.1374912254440771,0.010469259694218636
5e-05,0.0,0.5,0.1,0.7478191628350072,0.6809658253102097,0.6810940765432,0.006136736739426852,0.0887719216211923,0.012766393832862377,0.15579486345854285,0.24530487008000293,0.24614516164310277,0.004456290246106251,0.12335374021226193,0.009454374201595783
5e-05,1e-06,0.5,0.1,0.7511793317057386,0.6810661181816098,0.6810426940097802,0.006150975171476602,0.07924769363372121,0.013230693526566029,0.15352675726509385,0.23927321968646512,0.23998329853237824,0.00413866819206631,0.11260300709334307,0.008997543714940548
5e-05,1e-06,1.0,0.1,0.7491045269630172,0.6812760003236324,0.6810314585660839,0.005674273800104856,0.08614725843400133,0.012434078380465508,0.1479425041138217,0.23650288451223783,0.2372307064883904,0.0040701922188518804,0.12855610140169796,0.00880896020680666
5e-05,1e-06,0.1,1.0,0.8632082585170776,0.6811951693373361,0.6806657804659124,0.005604711920022964,0.1052890008630839,0.16344989836215973,0.08342913008844925,0.16073271482836488,0.16295672834194924,0.0007711531602472479,0.08339086508347458,0.23918141424655914
5e-05,0.0,1.0,0.1,0.7473816860342819,0.6803801709668497,0.680122830967559,0.005984619446098805,0.08538988582916587,0.011857351288199425,0.1492159212908521,0.24397960887034534,0.24470459527208888,0.0040464465516817354,0.13518253003992708,0.009399122558534145
5e-05,1e-05,0.5,0.1,0.7512532304806484,0.6777443543031259,0.6775565045013796,0.005536350421607494,0.08744599217469472,0.012782934121787548,0.15183988399990322,0.22602684295726172,0.22666410221318486,0.0039820658522884385,0.12081186800481747,0.009569970890879631
0.0001,0.0001,1.0,0.1,0.7322636765524673,0.6774499701282126,0.6770490836475397,0.005643270909786224,0.09607661632847497,0.012218515388667583,0.16741473780278368,0.2514633983741783,0.25213286213029423,0.003553922061957528,0.13145192094732977,0.00994347408413887
5e-05,0.0001,0.5,0.1,0.7265993169772459,0.6706348667785591,0.6701521631319035,0.005243513826280832,0.07789413766894634,0.012722653336822987,0.17965593213990086,0.21837080570406991,0.21903157106091592,0.0036537204130219357,0.0876494662481594,0.009553218260407448
0.0001,0.0,0.5,0.1,0.7331519996160882,0.6686719251702812,0.6683852609353795,0.005776157788932324,0.08293019616932255,0.012842103838920593,0.17210668373394397,0.25254758000268,0.2533761278176663,0.0033779737854701584,0.13872356303545466,0.010411136783659458
0.0001,0.0001,0.5,0.1,0.7426378809916404,0.6679227850736487,0.6677537854589171,0.005929985083639622,0.07503566836154447,0.012896733358502388,0.16155797800213173,0.24843749814270943,0.24927660517591443,0.003407474736499245,0.11004308143848027,0.010156347416341305
0.0001,1e-06,0.5,0.1,0.7323958570928807,0.6673685371440496,0.6670187047004934,0.0057730012573301796,0.09567009617777542,0.012793704867362976,0.17489966809919388,0.2520322902926765,0.25287578604435695,0.0033794089455793626,0.14030323979795548,0.010464693419635296
0.0005,0.0,0.1,1.0,0.8344514920707329,0.6671134834084209,0.6661350100016153,0.004874793719500304,0.09367850660939965,0.1585136353969574,0.1155908288468567,0.21864583001284976,0.22064360275216607,0.0026362765212569242,0.10829731505914349,0.2529773712158203
0.0005,1e-05,0.1,1.0,0.8356675529271469,0.665609450729834,0.6648361062857139,0.004707400966435671,0.07252716972038817,0.15707743167877197,0.11486909585276676,0.22190701318371847,0.22395294688506412,0.0022516671959209623,0.10710463637773675,0.25248655676841736
0.0005,0.0,0.5,1.0,0.8303986249821789,0.6646520001773322,0.6636898790013829,0.0050721862353384495,0.07896582336320594,0.15739116072654724,0.12595850752158658,0.22304176062655137,0.22495071773323247,0.002176271077601934,0.10417603471852509,0.25321218371391296
0.0005,1e-06,0.1,1.0,0.8318151231568558,0.6630465989541797,0.6621512163619314,0.004963983688503504,0.07858643545965774,0.1579577624797821,0.12207404941820163,0.22259672040061,0.22452248660794755,0.0025703486542613227,0.09399215834800051,0.2526549994945526
0.0001,0.0001,0.1,0.1,0.7430219034683416,0.6617202716183436,0.6621202295639854,0.005201919004321098,0.07270550655098812,0.01309981383383274,0.17108695173440314,0.24632394683893133,0.24770608703562727,0.00326361444053759,0.1198544163696706,0.010321762412786484
0.0005,0.0,1.0,1.0,0.8358388679784525,0.6629628682006538,0.6618140150908898,0.005042624846100807,0.08865629526790664,0.15648594498634338,0.13542108339750236,0.2246032092065884,0.22636437013168928,0.002404372487381143,0.09396677103038865,0.25399672985076904
0.0001,1e-05,0.1,0.1,0.7457592946486068,0.6611447109157933,0.6610448752814463,0.0048010523431003095,0.08587487813776137,0.012118374928832054,0.17201740184544775,0.2580727888654953,0.25933680008609544,0.0034467428636252365,0.1212389232578643,0.011637140065431595
0.0005,1e-05,0.5,1.0,0.8325088021533009,0.6611062492601117,0.6602729159821229,0.004809811618179083,0.08884948446706219,0.15590988099575043,0.1281074890453662,0.22764058450936897,0.22963368846026969,0.0022685063912895194,0.09823767250387255,0.25257551670074463
